cen_x,cen_y,xmin,ymin,xmax,ymax
610,421,578.37714,396.80746,643.1754,446.5054
1684,310,1651.5555,290.70483,1717.2411,330.42752
1450,372,1421.8073,354.91302,1478.5206,390.3841
1284,393,1254.8671,365.8591,1315.0801,420.46857
1276,306,1262.8383,293.76855,1291.0084,320.01047
1269,375,1230.1578,346.04102,1309.3723,405.85468
1323,332,1303.4363,315.7411,1343.2686,348.67297
1416,225,1397.7091,215.65997,1435.7623,235.46152
1284,393,1254.8671,365.8591,1315.0801,420.46857
1273,383,1234.882,349.47635,1312.7593,418.29608
1322,333,1302.4811,314.77988,1342.993,352.67938
1450,373,1421.6467,354.96518,1479.1667,391.2421
1289,747,1205.3289,684.14453,1372.9644,811.7722
465,611,413.7176,568.0855,517.3305,655.2305
198,986,96.5755,896.4977,300.73782,1076.1921
600,434,564.9457,407.90057,635.787,461.92227
1697,450,1657.0149,424.13446,1737.7961,477.24167
1217,401,1186.6495,378.80096,1249.0574,423.69223
1690,324,1651.1863,301.31735,1729.118,347.4943
1002,402,975.7675,379.78912,1030.1008,424.739
989,588,939.0907,544.21075,1040.4156,633.53076
691,346,668.26434,329.94104,715.1117,364.0098
977,277,962.163,265.77734,993.7183,289.11713
883,359,861.2255,342.29166,905.8279,376.00098
906,329,886.82855,313.01114,925.7397,345.0455
1155,301,1141.3816,290.76932,1170.0485,312.86478
1268,288,1253.191,274.55066,1283.0536,302.72092
904,311,886.4301,295.9071,923.0537,327.04532
921,331,907.25226,317.4718,934.8437,346.26584
843,283,827.23737,273.99658,859.00116,292.2207
198,985,96.18688,896.4576,300.33435,1075.2513
990,588,939.3314,543.3811,1040.8464,633.2641
871,175,852.31274,164.45659,890.3908,186.83443
1484,985,1363.597,896.5639,1606.236,1075.4303
1615,567,1549.6727,517.51337,1681.3168,617.2248
511,573,463.55853,534.11096,560.37317,612.86163
890,457,858.1809,429.0977,921.9773,485.24545
1004,584,950.8042,536.2129,1057.8811,632.6978
1188,397,1157.0863,375.04385,1219.5565,419.49698
583,442,549.68225,413.95895,617.1273,470.27493
1726,323,1691.3115,299.8213,1760.7808,346.38556
894,340,874.7405,325.17764,914.5878,355.4973
1513,252,1487.5104,236.13144,1539.0898,269.64746
978,337,958.0384,319.7697,999.7085,355.53314
1355,339,1332.8456,323.96182,1378.4531,355.17377
971,282,953.9093,272.12537,989.4732,293.34207
1171,287,1153.6547,273.96268,1189.6599,300.6737
939,292,921.1774,280.75043,957.5179,303.32227
1286,268,1264.0691,249.42236,1308.0156,287.03305
1257,292,1235.7375,278.6974,1279.8997,306.5573
1513,252,1487.5104,236.13144,1539.0898,269.64746
1198,265,1181.0841,249.03542,1216.2871,282.6734
1236,372,1207.3512,353.17154,1265.9498,391.03894
1495,383,1463.653,363.6788,1527.8748,404.1116
1414,462,1373.1921,431.71506,1456.5459,493.209
675,355,653.0915,339.52817,697.76904,372.38947
1167,320,1149.688,305.50156,1184.8789,334.75043
905,309,887.6132,295.21286,924.3111,322.97842
1108,306,1092.5846,293.36044,1123.475,318.93628
951,288,936.82294,279.9131,965.275,296.93512
885,271,867.3764,260.89212,902.7563,283.01718
763,303,745.0418,289.82883,782.3209,316.95782
1415,462,1373.8746,431.35217,1456.6759,493.16977
885,271,867.3764,260.89212,902.7563,283.01718
872,176,853.3203,164.78922,891.8259,188.32004
383,714,315.06116,654.3524,451.54135,775.16364
1085,526,1038.3362,491.31967,1131.7678,562.4813
596,430,560.5427,401.2714,632.84735,459.10516
1171,979,1072.3433,887.32275,1271.316,1071.7571
1411,453,1362.7178,411.71848,1459.7684,494.88522
966,544,923.0328,507.67044,1010.1504,581.142
1186,383,1156.9165,360.5721,1215.538,406.64212
969,362,946.66425,342.10828,992.01965,382.04407
698,340,675.9512,325.78568,720.77026,354.31393
749,307,730.7165,292.0384,767.36615,322.04944
1001,284,987.226,273.62585,1016.66626,295.48483
1484,378,1452.7306,355.4893,1515.4537,401.78305
1342,336,1324.2792,322.53137,1359.9688,350.39615
886,328,868.7652,309.3917,903.99695,346.75064
1219,349,1194.7783,322.3309,1243.9987,376.16147
1484,378,1453.6794,355.6251,1515.7372,402.01688
1159,314,1144.432,300.23834,1174.9277,329.5536
1219,350,1195.8435,323.75867,1244.0383,376.5436
1203,313,1176.9703,290.34186,1229.8604,335.83728
1284,267,1260.3635,247.66537,1308.5027,287.275
1186,383,1157.4293,360.35352,1214.9576,406.51993
1279,302,1261.6521,292.3489,1297.7373,313.1297
1159,314,1144.432,300.23834,1174.9277,329.5536
1172,979,1073.2341,887.3634,1271.7201,1072.186
1411,452,1362.9963,411.854,1459.5769,494.13068
872,178,851.55927,167.04282,893.10187,189.47238
966,544,923.15015,507.9671,1010.22784,581.1391
1369,441,1330.3342,415.91907,1408.447,466.88672
925,450,892.1291,424.51385,959.40894,477.01642
1345,502,1299.0325,470.01788,1391.3918,534.9777
1528,510,1467.5094,460.03714,1589.2708,560.7113
1467,373,1436.3904,356.18396,1497.6129,390.75122
903,317,885.35425,302.58545,922.1933,332.603
928,293,911.3938,280.5135,945.1089,307.077
970,271,957.2195,260.6627,984.41534,281.60342
1104,298,1090.8792,281.68988,1118.3104,314.42203
1168,289,1146.3956,274.3497,1191.1752,304.17834
1022,265,1011.1854,256.62726,1033.2439,273.63074
1204,265,1185.8115,254.09125,1223.4202,277.59735
873,174,852.1018,163.44786,894.93054,186.09003
1292,279,1276.9028,270.199,1308.6614,289.7761
1262,277,1247.4961,266.7628,1277.4741,288.41522
928,293,911.3938,280.5135,945.1089,307.077
1115,853,1014.5774,740.7695,1217.11,966.0708
1632,674,1554.9751,613.65173,1710.9634,735.3729
697,335,672.3249,313.45767,722.7383,356.60617
580,459,541.8584,428.76077,619.18616,491.02863
1077,491,1032.6064,455.31445,1122.1385,526.8772
1327,483,1280.6068,452.44205,1373.9221,514.62744
1400,892,1298.2112,814.7085,1502.8883,970.6791
975,317,959.07935,302.95117,992.267,331.94238
1315,416,1281.2904,393.2374,1350.5726,439.43314
1515,390,1481.6461,368.1965,1549.4119,412.8924
1684,447,1640.5294,421.52914,1727.6384,474.1561
